SN,版本,MAC,时间,结果,通知治具开始测量静态电流（CC）,等待治具数据长包-机号,等待治具数据长包-静态电流(uA),等待治具数据长包-工作电流(mA),等待治具数据长包-充电电流(mA),等待治具数据长包-泵电压(mV),等待治具数据长包-MCU电压(mV),等待治具数据长包-阀电压(mV),MES启动,扫描连接蓝牙,M8 LED全开,M8读取版本号,M8获取电量信息,M8查询电池温度,M8开启按键上报,M8检查模式切换,M8检查减挡位,M8检查加挡位,通知治具准备开始测试（AA）,M8吸力测试开,通知治具开始测量工作电流（EE）,等待治具工作电流测量完成,M8吸力测试关,M8关机
M800DCC400000F8F1LMB66G00353,自由测试工站   V1.1.14,DC:C4:00:00:0F:8F,2026-06-18 20:18:04,FAIL,1(通过),当前值=1 允许[012](通过),当前值=16 允许[1030](通过),当前值=374 允许[250500](通过),当前值=1084 允许[9001200](通过),当前值=3959 允许[38004500](通过),当前值=3327 允许[32503400](通过),当前值=4806 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),59(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC400000F9F1LMB66G00352,自由测试工站   V1.1.14,DC:C4:00:00:0F:9F,2026-06-18 19:51:57,FAIL,1(通过),当前值=1 允许[012](通过),当前值=14 允许[1030](通过),当前值=376 允许[250500](通过),当前值=1198 允许[9001200](通过),当前值=4026 允许[38004500](通过),当前值=3311 允许[32503400](通过),当前值=4878 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),52(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC400000FAF1LMB66G00351,自由测试工站   V1.1.14,DC:C4:00:00:0F:AF,2026-06-18 19:46:18,PASS,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=383 允许[250500](通过),当前值=1056 允许[9001200](通过),当前值=3983 允许[38004500](通过),当前值=3313 允许[32503400](通过),当前值=4837 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),60(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC400000FBF1LMB66G00350,自由测试工站   V1.1.14,DC:C4:00:00:0F:BF,2026-06-18 19:59:49,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=255 允许[250500](通过),当前值=1183 允许[9001200](通过),当前值=4002 允许[38004500](通过),当前值=3313 允许[32503400](通过),当前值=4850 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),43(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC400000FCF1LMB66G00349,自由测试工站   V1.1.14,DC:C4:00:00:0F:CF,2026-06-18 19:45:32,PASS,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=384 允许[250500](通过),当前值=1183 允许[9001200](通过),当前值=4012 允许[38004500](通过),当前值=3312 允许[32503400](通过),当前值=4883 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),65(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC400000FDF1LMB66G00348,自由测试工站   V1.1.14,DC:C4:00:00:0F:DF,2026-06-18 19:48:58,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=375 允许[250500](通过),当前值=1101 允许[9001200](通过),当前值=3980 允许[38004500](通过),当前值=3311 允许[32503400](通过),当前值=4863 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),55(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC400000FEF1LMB66G00347,自由测试工站   V1.1.14,DC:C4:00:00:0F:EF,2026-06-18 19:47:09,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=379 允许[250500](通过),当前值=1189 允许[9001200](通过),当前值=3990 允许[38004500](通过),当前值=3310 允许[32503400](通过),当前值=4854 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),50(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC400000FFF1LMB66G00346,自由测试工站   V1.1.14,DC:C4:00:00:0F:FF,2026-06-18 21:39:23,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=279 允许[250500](通过),当前值=1091 允许[9001200](通过),当前值=3952 允许[38004500](通过),当前值=3308 允许[32503400](通过),当前值=4855 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),65(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000010001LMB66G00345,自由测试工站   V1.1.14,DC:C4:00:00:10:00,2026-06-18 20:57:53,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=386 允许[250500](通过),当前值=1026 允许[9001200](通过),当前值=4043 允许[38004500](通过),当前值=3313 允许[32503400](通过),当前值=4858 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),52(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000010101LMB66G00344,自由测试工站   V1.1.14,DC:C4:00:00:10:10,2026-06-23 14:13:08,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=370 允许[250500](通过),当前值=1109 允许[9001200](通过),当前值=3929 允许[38004500](通过),当前值=3310 允许[32503400](通过),当前值=4821 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),54(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000010201LMB66G00343,自由测试工站   V1.1.14,DC:C4:00:00:10:20,2026-06-18 21:06:52,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=379 允许[250500](通过),当前值=1141 允许[9001200](通过),当前值=3953 允许[38004500](通过),当前值=3309 允许[32503400](通过),当前值=4849 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),55(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000010301LMB66G00342,自由测试工站   V1.1.14,DC:C4:00:00:10:30,2026-06-18 20:52:42,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=376 允许[250500](通过),当前值=1192 允许[9001200](通过),当前值=3903 允许[38004500](通过),当前值=3320 允许[32503400](通过),当前值=4849 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),52(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000010401LMB66G00341,自由测试工站   V1.1.14,DC:C4:00:00:10:40,2026-06-23 14:13:43,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=371 允许[250500](通过),当前值=1066 允许[9001200](通过),当前值=3968 允许[38004500](通过),当前值=3318 允许[32503400](通过),当前值=4824 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),59(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000010501LMB66G00340,自由测试工站   V1.1.14,DC:C4:00:00:10:50,2026-06-23 14:14:37,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=371 允许[250500](通过),当前值=1180 允许[9001200](通过),当前值=3933 允许[38004500](通过),当前值=3315 允许[32503400](通过),当前值=4852 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),43(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000010601LMB66G00339,自由测试工站   V1.1.14,DC:C4:00:00:10:60,2026-06-18 21:05:26,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=367 允许[250500](通过),当前值=1149 允许[9001200](通过),当前值=3963 允许[38004500](通过),当前值=3301 允许[32503400](通过),当前值=4818 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),54(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000010701LMB66G00338,自由测试工站   V1.1.14,DC:C4:00:00:10:70,2026-06-23 14:12:51,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=366 允许[250500](通过),当前值=1105 允许[9001200](通过),当前值=3906 允许[38004500](通过),当前值=3281 允许[32503400](通过),当前值=4836 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),55(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000010801LMB66G00337,自由测试工站   V1.1.14,DC:C4:00:00:10:80,2026-06-23 14:13:37,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=279 允许[250500](通过),当前值=1116 允许[9001200](通过),当前值=4025 允许[38004500](通过),当前值=3313 允许[32503400](通过),当前值=4852 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),50(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000010901LMB66G00336,自由测试工站   V1.1.14,DC:C4:00:00:10:90,2026-06-18 21:18:32,PASS,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=397 允许[250500](通过),当前值=1196 允许[9001200](通过),当前值=3972 允许[38004500](通过),当前值=3315 允许[32503400](通过),当前值=4845 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),62(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000010A01LMB66G00335,自由测试工站   V1.1.14,DC:C4:00:00:10:A0,2026-06-23 14:13:38,FAIL,1(通过),当前值=1 允许[012](通过),当前值=16 允许[1030](通过),当前值=378 允许[250500](通过),当前值=1007 允许[9001200](通过),当前值=4044 允许[38004500](通过),当前值=3277 允许[32503400](通过),当前值=4876 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),50(通过),25(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000010B01LMB66G00334,自由测试工站   V1.1.14,DC:C4:00:00:10:B0,2026-06-18 20:42:03,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=377 允许[250500](通过),当前值=1095 允许[9001200](通过),当前值=4037 允许[38004500](通过),当前值=3331 允许[32503400](通过),当前值=4868 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),52(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000010C01LMB66G00333,自由测试工站   V1.1.14,DC:C4:00:00:10:C0,2026-06-18 20:05:35,PASS,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=368 允许[250500](通过),当前值=1198 允许[9001200](通过),当前值=4016 允许[38004500](通过),当前值=3309 允许[32503400](通过),当前值=4849 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),52(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000010D01LMB66G00332,自由测试工站   V1.1.14,DC:C4:00:00:10:D0,2026-06-18 21:08:47,PASS,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=399 允许[250500](通过),当前值=1168 允许[9001200](通过),当前值=4036 允许[38004500](通过),当前值=3320 允许[32503400](通过),当前值=4866 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),55(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000010E01LMB66G00331,自由测试工站   V1.1.14,DC:C4:00:00:10:E0,2026-06-18 21:09:39,PASS,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=391 允许[250500](通过),当前值=1166 允许[9001200](通过),当前值=4060 允许[38004500](通过),当前值=3377 允许[32503400](通过),当前值=4872 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),50(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000010F01LMB66G00330,自由测试工站   V1.1.14,DC:C4:00:00:10:F0,2026-06-18 21:12:06,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=298 允许[250500](通过),当前值=1184 允许[9001200](通过),当前值=4036 允许[38004500](通过),当前值=3311 允许[32503400](通过),当前值=4859 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),54(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000011011LMB66G00329,自由测试工站   V1.1.14,DC:C4:00:00:11:01,2026-06-18 21:21:01,PASS,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=257 允许[250500](通过),当前值=1042 允许[9001200](通过),当前值=4023 允许[38004500](通过),当前值=3316 允许[32503400](通过),当前值=4864 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),55(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000011111LMB66G00328,自由测试工站   V1.1.14,DC:C4:00:00:11:11,2026-06-18 21:15:50,PASS,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=333 允许[250500](通过),当前值=1106 允许[9001200](通过),当前值=4006 允许[38004500](通过),当前值=3324 允许[32503400](通过),当前值=4876 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),52(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000011211LMB66G00327,自由测试工站   V1.1.14,DC:C4:00:00:11:21,2026-06-23 14:13:36,FAIL,1(通过),当前值=1 允许[012](通过),当前值=14 允许[1030](通过),当前值=376 允许[250500](通过),当前值=1152 允许[9001200](通过),当前值=4048 允许[38004500](通过),当前值=3316 允许[32503400](通过),当前值=4856 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),55(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000011311LMB66G00326,自由测试工站   V1.1.14,DC:C4:00:00:11:31,2026-06-18 21:14:11,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=383 允许[250500](通过),当前值=1158 允许[9001200](通过),当前值=4020 允许[38004500](通过),当前值=3306 允许[32503400](通过),当前值=4869 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),62(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000011411LMB66G00325,自由测试工站   V1.1.14,DC:C4:00:00:11:41,2026-06-18 21:37:13,FAIL,1(通过),当前值=1 允许[012](通过),当前值=16 允许[1030](通过),当前值=394 允许[250500](通过),当前值=1040 允许[9001200](通过),当前值=3944 允许[38004500](通过),当前值=3324 允许[32503400](通过),当前值=4857 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),55(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000011511LMB66G00324,自由测试工站   V1.1.14,DC:C4:00:00:11:51,2026-06-18 20:33:24,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=378 允许[250500](通过),当前值=1116 允许[9001200](通过),当前值=3928 允许[38004500](通过),当前值=3309 允许[32503400](通过),当前值=4855 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),62(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000011611LMB66G00323,自由测试工站   V1.1.14,DC:C4:00:00:11:61,2026-06-18 20:32:05,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=388 允许[250500](通过),当前值=1191 允许[9001200](通过),当前值=4012 允许[38004500](通过),当前值=3312 允许[32503400](通过),当前值=4866 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),54(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC4000011711LMB66G00322,自由测试工站   V1.1.14,DC:C4:00:00:11:71,2026-06-18 20:26:12,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=379 允许[250500](通过),当前值=1137 允许[9001200](通过),当前值=4017 允许[38004500](通过),当前值=3309 允许[32503400](通过),当前值=4871 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),59(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
